,Wards in Nairobi,Number of scrap dealers,Presence of open sewage,Sources of water(Borehole),no. of Industries
4773,Westlands,"""123","000""",67,1
4774,Westlands,"""44","918""",51,0
4775,Upper Savannah,"""17","000""",104,1
4776,Lucky Summer,"""25","000""",34,0
4777,Utalii,"""46","174""",69,1
4778,Kabiro,"""43","200""",69,0
4779,Hospital,"""123","000""",86,0
4780,Nairobi South,"""21","000""",94,1
4781,Imara Daima,"""17","000""",94,1
4782,Embakasi,"""19","000""",59,0
4783,Imara Daima,"""41","800""",76,1
4784,Gatina,"""42","500""",70,1
4785,Utawala,"""20","000""",53,0
4786,Kariobangi North,"""45","600""",58,0
4787,Mlango Kubwa,"""11","000""",42,0
4788,Umoja II,"""50","800""",106,1
4789,Waithaka,"""45","200""",40,0
4790,Nairobi South,"""44","800""",99,1
4791,Laini saba,"""44","918""",87,1
4792,Kasarani,"""45","800""",115,1
4793,Lucky Summer,"""231","700""",62,1
4794,Ruiru,"""42","400""",67,1
4795,Kwa Njenga,"""18","000""",54,0
4796,Embakasi Central,"""36","037""",99,1
4797,Pipeline,"""21","000""",91,1
4798,Lower Savannah,"""44","600""",93,1
4799,Sarangombe,"""41","500""",94,1
4800,Riruta,"""26","000""",56,0
4801,Ngando,"""23","000""",120,1
4802,Gatina,"""29","000""",87,0
4803,Eastleigh South,"""42","800""",69,0
4804,Korogocho,"""10","000""",104,1
4805,Nairobi South,"""44","918""",66,1
4806,Umoja II,"""45","000""",41,1
4807,Thika,"""45","600""",108,1
4808,Mutu-ini,"""39","377""",55,0
4809,Nairobi Central,"""46","800""",89,1
4810,Huruma,"""19","000""",51,1
4811,Laini saba,"""109","890""",96,1
4812,Westlands,"""18","000""",49,0
4813,Starehe,"""44","000""",59,0
4814,Dandora Area I,"""51","890""",56,1
4815,Mugumu-Ini,"""16","000""",61,1
4816,Airbase,"""36","037""",92,1
4817,Kariobangi South,"""24","000""",87,1
4818,Githurai,"""43","400""",100,1
4819,Kayole South,"""10","000""",93,1
4820,Embakasi South,"""15","000""",38,0
4821,Karen,"""43","800""",47,0
4822,Kangemi,"""50","800""",90,1
4823,Utawala,"""41","700""",49,0
4824,Nairobi West,"""24","000""",34,0
4825,Ngei,"""39","377""",69,0
4826,Karen,"""43","200""",69,1
4827,Pipeline,"""38","918""",106,0
4828,Kariobangi South,"""51","890""",75,0
4829,Parklands/Highridge,"""50","800""",95,1
4830,Embakasi South,"""52","600""",79,0
4831,Thika,"""45","400""",69,1
4832,Kwa Njenga,"""11","000""",116,1
4833,Kitisuru,"""46","400""",114,1
4834,Viwandani,"""46","000""",115,0
4835,Ruiru,"""42","000""",100,1
4836,Pumwani,"""12","000""",49,0
4837,Roysambu,"""26","000""",73,1
4838,Makadara,"""48","997""",87,1
4839,Mutu-ini,"""44","000""",57,0
4840,Eastleigh South,"""19","000""",51,0
4841,Dandora Area III,"""20","000""",85,0
4842,Riruta,"""44","918""",74,0
4843,Karen,"""48","997""",94,1
4844,Baba Dogo,"""51","890""",40,0
4845,Baba Dogo,"""52","600""",107,1
4846,Landimawe,"""26","000""",46,0
4847,Matopeni/Spring Valley,"""26","000""",61,0
4848,Starehe,"""42","500""",50,0
4849,Ngei,"""63","000""",93,0
4850,Viwandani,"""42","000""",56,0
4851,Embakasi Central,"""12","000""",96,1
4852,Athi River,"""17","000""",55,1
4853,Roysambu,"""44","000""",45,1
4854,Kware,"""51","890""",32,0
4855,Mabatini,"""82","972""",124,1
4856,Ngando,"""50","800""",104,1
4857,Embakasi,"""44","600""",56,0
4858,Mwiki,"""48","997""",47,0
4859,Ruiru,"""231","700""",85,0
4860,Makongeni,"""44","918""",57,1
4861,Mathare South,"""46","800""",98,1
4862,Lindi Makina,"""43","800""",95,0
4863,Athi River,"""40","500""",101,1
4864,Airbase,"""25","000""",69,0
4865,Dandora Area I,"""42","800""",79,0
4866,Pipeline,"""52","500""",115,1
4867,Kware,"""46","174""",75,0
4868,Makongeni,"""50","800""",48,0
4869,Korogocho,"""41","800""",90,1
4870,Kahawa West,"""21","000""",60,0
4871,Ngando,"""10","000""",175,1
4872,Kayole North,"""109","890""",75,1
4873,Kitengela,"""25","000""",91,0
4874,Ruai,"""24","000""",107,0
4875,Karura,"""42","500""",54,0
4876,Makongeni,"""9","000""",61,1
4877,Embakasi,"""45","600""",75,0
4878,Viwandani,"""16","000""",87,0
4879,Utalii,"""44","400""",38,0
4880,Matopeni/Spring Valley,"""15","000""",63,1
4881,Njiru,"""20","000""",115,1
4882,Mutu-ini,"""22","000""",74,0
4883,Mlango Kubwa,"""41","800""",201,1
4884,Mathare South,"""51","890""",98,0
4885,Mugumu-Ini,"""65","574""",84,1
4886,Kitisuru,"""109","890""",64,0
4887,Zimmerman,"""18","000""",49,0
4888,Athi River,"""16","000""",54,0
4889,Kawangware,"""44","400""",52,0
4890,Ngando,"""46","600""",104,1
4891,Nyayo Highrise,"""52","600""",91,1
4892,Kwa Njenga,"""77","378""",77,1
4893,Starehe,"""231","700""",92,1
4894,Syokimau,"""15","000""",81,1
4895,Njiru,"""46","600""",71,0
4896,Eastleigh South,"""12","000""",59,1
4897,Woodley /Kenyatta Golf Course,"""17","000""",44,0
4898,Dandora Area IV,"""17","000""",97,1
4899,Parklands/Highridge,"""46","800""",94,0
4900,Kitisuru,"""51","890""",99,1
4901,Mlango Kubwa,"""48","100""",64,0
4902,Kileleshwa,"""65","574""",86,0
4903,Mihango,"""41","600""",44,0
4904,Kiamaiko,"""44","200""",62,0
4905,Eastleigh North,"""11","000""",63,1
4906,Pumwani,"""48","997""",115,1
4907,Pipeline,"""40","500""",71,1
4908,Riruta,"""22","000""",96,1
4909,Pangani,"""41","900""",111,1
4910,Kwa Njenga,"""42","300""",48,1
4911,Njiru,"""42","400""",48,1
4912,Zimmerman,"""14","000""",102,1
4913,Riruta,"""12","000""",105,1
4914,Roysambu,"""17","000""",59,0
4915,Pipeline,"""38","918""",119,1
4916,Parklands/Highridge,"""42","300""",54,1
4917,Embakasi East,"""46","600""",80,1
4918,Umoja I,"""19","000""",47,0
4919,Utawala,"""44","400""",102,1
4920,Imara Daima,"""26","000""",53,0
4921,Karen,"""42","500""",87,0
4922,Lindi Makina,"""42","972""",93,0
4923,Sarangombe,"""55","500""",50,0
4924,Nairobi South,"""17","000""",74,0
4925,Upper Savannah,"""52","600""",106,1
4926,Dandora Area IV,"""43","000""",43,1
4927,Pumwani,"""43","200""",97,1
4928,Nairobi West,"""18","000""",57,0
4929,Komarock,"""41","500""",67,1
4930,Kayole North,"""45","200""",54,0
4931,Riruta,"""26","000""",60,1
4932,Kahawa,"""48","997""",52,1
4933,Lower Savannah,"""36","037""",115,1
4934,Mihango,"""41","600""",109,1
4935,Ruai,"""41","600""",86,0
4936,Utalii,"""45","000""",72,1
4937,Ngei,"""63","000""",124,1
4938,Mathare North,"""36","037""",43,0
4939,Kibera,"""12","000""",110,1
4940,Mutu-ini,"""41","600""",68,0
4941,Mabatini,"""50","800""",70,1
4942,Mathare South,"""62","600""",30,0
4943,Mihango,"""12","000""",66,0
4944,Baba Dogo,"""109","890""",105,1
4945,Mowlem,"""48","100""",107,1
4946,Clay City,"""42","300""",62,1
4947,Kawangware,"""17","000""",73,1
4948,Ruiru,"""45","000""",90,1
4949,Lucky Summer,"""123","000""",152,0
4950,Hospital,"""52","600""",88,0
4951,Baba Dogo,"""42","000""",108,1
4952,Lindi Makina,"""42","400""",62,0
4953,Kitisuru,"""42","200""",78,1
4954,Ngara,"""90","017""",55,0
4955,Utalii,"""41","700""",46,1
4956,Mlango Kubwa,"""62","600""",40,0
4957,Parklands/Highridge,"""39","377""",65,0
4958,Woodley /Kenyatta Golf Course,"""21","000""",128,1
4959,Eastleigh South,"""55","500""",64,0
4960,Embakasi,"""14","000""",77,1
4961,Karura,"""18","000""",122,0
4962,Mathare North,"""63","000""",56,0
4963,Zimmerman,"""23","000""",52,0
4964,Airbase,"""52","600""",70,1
4965,Makadara,"""18","000""",40,0
4966,Embakasi Central,"""20","000""",48,0
4967,Hospital,"""12","000""",100,0
4968,Kawangware,"""12","000""",92,1
4969,Komarock,"""42","600""",63,0
4970,Ruiru,"""9","000""",104,0
4971,Viwandani,"""43","000""",45,0
4972,Kileleshwa,"""48","100""",93,1
4973,Kilimani,"""44","200""",110,1
4974,Komarock,"""48","997""",47,0
4975,Viwandani,"""14","000""",106,1
4976,Mlango Kubwa,"""43","600""",87,1
4977,Mathare North,"""17","000""",94,1
4978,Korogocho,"""44","200""",77,1
4979,Nairobi Central,"""45","000""",59,1
4980,Huruma,"""43","000""",64,1
4981,California,"""24","000""",102,0
4982,Clay City,"""46","400""",64,0
4983,Kamukunji,"""22","000""",64,0
4984,Kayole Central,"""12","000""",80,1
4985,Ruiru,"""45","200""",99,0
4986,Viwandani,"""42","600""",65,0
4987,Pumwani,"""46","800""",101,1
4988,Utalii,"""39","377""",94,1
4989,Mathare South,"""22","000""",79,1
4990,Kayole South,"""40","500""",85,1
4991,Umoja II,"""41","600""",54,1
4992,Riruta,"""42","400""",108,1
4993,Mowlem,"""42","600""",65,1
4994,Mugumu-Ini,"""41","500""",88,0
4995,Kwa Njenga,"""42","500""",89,1
4996,Dandora Area III,"""44","600""",42,1
4997,Huruma,"""51","890""",49,0
4998,Kayole North,"""48","100""",88,1
4999,Karura,"""46","174""",92,1
5000,Makadara,"""16","000""",96,1
5001,Matopeni/Spring Valley,"""43","800""",86,0
